protein_cluster	sequence_id	cluster_size
PC0235	4h2w_1	2
PC0236	4hcn_1	2
PC0236	4hcp_1	2
PC0237	4hgk_1	2
PC0237	4hgm_1	2
PC0238	4jeh_2	2
PC0238	4jeu_2	2
PC0239	4k0a_2	2
PC0239	4ka2_2	2
PC0240	4k1r_1	2
PC0240	4pqt_1	2
PC0241	4kr0_2	2
PC0241	4qzv_2	2
PC0242	4lgr_2	2
PC0242	5j56_2	2
PC0243	4m0w_1	2
PC0243	5tl7_2	2
PC0244	4nm3_1	2
PC0244	4nu1_1	2
PC0245	4nm3_2	2
PC0245	4nu1_2	2
PC0246	4rey_1	2
PC0246	5h3j_1	2
PC0247	4w6w_1	2
PC0247	4w6x_1	2
PC0248	4x7e_1	2
PC0248	4x7f_1	2
PC0249	4y61_1	2
PC0249	5xwt_1	2
PC0250	5ajj_1	2
PC0250	5ajk_1	2
PC0251	5b76_2	2
PC0251	5b77_2	2
PC0252	5cx3_1	2
PC0252	6aaf_1	2
PC0253	5cxb_1	2
PC0253	5cyk_1	2
PC0254	5cxb_2	2
PC0254	5cyk_2	2
PC0255	5d1k_2	2
PC0255	5d1m_2	2
PC0256	5et1_1	2
PC0256	5ma3_2	2
PC0257	5f4e_2	2
PC0257	5jke_2	2
PC0258	5fr1_2	2
PC0258	5fr2_2	2
PC0259	5ij0_1	2
PC0259	5ij9_1	2
PC0260	5ij0_2	2
PC0260	5ij9_2	2
PC0261	5lz3_2	2
PC0261	5lz6_2	2
PC0262	5m72_1	2
PC0262	5wrv_2	2
PC0263	5ma3_1	2
PC0263	5ma4_1	2
PC0264	5ma6_1	2
PC0264	5mak_1	2
PC0265	5mv9_1	2
PC0265	5xbf_1	2
PC0266	5oy9_1	2
PC0266	5oyl_1	2
PC0267	5uzu_2	2
PC0267	6bmt_1	2
PC0268	5wpa_1	2
PC0268	5wpa_2	2
PC0269	6dwf_2	2
PC0269	6dwh_2	2
PC0270	6eg0_1	2
PC0270	6eg1_1	2
PC0271	6f0f_1	2
PC0271	6f0g_1	2
PC0272	6fub_1	2
PC0272	6fud_2	2
PC0273	6fub_2	2
PC0273	6fud_1	2
PC0274	6ht9_1	2
PC0274	6saz_1	2
PC0275	6ihb_2	2
PC0275	6jcs_1	2
PC0276	6iu7_2	2
PC0276	6iua_2	2
PC0277	6kbm_1	2
PC0277	6kbn_1	2
PC0278	6kbm_2	2
PC0278	6kbn_2	2
PC0279	6mav_1	2
PC0279	6n9d_1	2
PC0280	6mba_1	2
PC0280	6mud_2	2
PC0281	6oqj_1	2
PC0281	6oqk_1	2
PC0282	6oqj_2	2
PC0282	6oqk_2	2
PC0283	6p7s_1	2
PC0283	6p7y_1	2
PC0284	1a22_1	1
PC0285	1ak4_2	1
PC0286	1atn_2	1
PC0287	1ava_1	1
PC0288	1ava_2	1
PC0289	1avx_2	1
PC0290	1axi_1	1
PC0291	1ay7_1	1
PC0292	1b27_2	1
PC0293	1buh_1	1
PC0294	1buh_2	1
PC0295	1bvn_2	1
PC0296	1dhk_1	1
PC0297	1dhk_2	1
PC0298	1djs_1	1
PC0299	1djs_2	1
PC0300	1dp5_2	1
PC0301	1dpj_2	1
PC0302	1e96_2	1
PC0303	1ees_2	1
PC0304	1emv_2	1
PC0305	1es0_1	1
PC0306	1es0_2	1
PC0307	1f34_1	1
PC0308	1f34_2	1
PC0309	1f3v_1	1
PC0310	1f3v_2	1
PC0311	1fc2_1	1
PC0312	1ffw_1	1
PC0313	1ffw_2	1
PC0314	1g6v_1	1
PC0315	1g9i_2	1
PC0316	1gla_1	1
PC0317	1gla_2	1
PC0318	1gng_1	1
PC0319	1gng_2	1
PC0320	1grn_2	1
PC0321	1gxd_1	1
PC0322	1gxd_2	1
PC0323	1h1v_2	1
PC0324	1h59_1	1
PC0325	1h59_2	1
PC0326	1he8_1	1
PC0327	1i4e_1	1
PC0328	1i4e_2	1
PC0329	1i8l_1	1
PC0330	1i8l_2	1
PC0331	1ibr_2	1
PC0332	1j2j_2	1
PC0333	1jgn_2	1
PC0334	1jh4_2	1
PC0335	1jiw_1	1
PC0336	1jiw_2	1
PC0337	1jsp_1	1
PC0338	1jsp_2	1
PC0339	1k93_1	1
PC0340	1kac_1	1
PC0341	1kbh_1	1
PC0342	1ktk_1	1
PC0343	1ktk_2	1
PC0344	1ktz_1	1
PC0345	1ktz_2	1
PC0346	1kxp_2	1
PC0347	1kxt_2	1
PC0348	1l8c_2	1
PC0349	1ldt_2	1
PC0350	1mah_1	1
PC0351	1mq8_1	1
PC0352	1mq8_2	1
PC0353	1mxe_2	1
PC0354	1mzw_1	1
PC0355	1mzw_2	1
PC0356	1nw9_1	1
PC0357	1nw9_2	1
PC0358	1nys_2	1
PC0359	1nyu_1	1
PC0360	1nyu_2	1
PC0361	1o9a_2	1
PC0362	1oey_1	1
PC0363	1oey_2	1
PC0364	1otr_1	1
PC0365	1oyh_1	1
PC0366	1oyh_2	1
PC0367	1ozs_1	1
PC0368	1ozs_2	1
PC0369	1p27_1	1
PC0370	1p27_2	1
PC0371	1p9d_2	1
PC0372	1pd7_1	1
PC0373	1pd7_2	1
PC0374	1pjm_1	1
PC0375	1pk1_1	1
PC0376	1pk1_2	1
PC0377	1psb_2	1
PC0378	1pvh_1	1
PC0379	1pvh_2	1
PC0380	1pxv_1	1
PC0381	1pxv_2	1
PC0382	1q0w_1	1
PC0383	1q5w_1	1
PC0384	1q68_1	1
PC0385	1q69_1	1
PC0386	1qa9_1	1
PC0387	1qa9_2	1
PC0388	1r8u_1	1
PC0389	1rjc_2	1
PC0390	1rkc_2	1
PC0391	1rke_2	1
PC0392	1rpq_1	1
PC0393	1rpq_2	1
PC0394	1s4y_2	1
PC0395	1sb0_2	1
PC0396	1shy_2	1
PC0397	1smf_2	1
PC0398	1sv0_1	1
PC0399	1sv0_2	1
PC0400	1t01_2	1
PC0401	1t0p_2	1
PC0402	1t44_1	1
PC0403	1t5z_2	1
PC0404	1t63_2	1
PC0405	1t6b_1	1
PC0406	1t6b_2	1
PC0407	1ta3_2	1
PC0408	1tba_1	1
PC0409	1tba_2	1
PC0410	1tdq_1	1
PC0411	1tdq_2	1
PC0412	1th1_2	1
PC0413	1tlh_1	1
PC0414	1tlh_2	1
PC0415	1tzn_1	1
PC0416	1tzn_2	1
PC0417	1u0s_1	1
PC0418	1u0s_2	1
PC0419	1uel_1	1
PC0420	1uel_2	1
PC0421	1ul1_1	1
PC0422	1ul1_2	1
PC0423	1us7_2	1
PC0424	1usu_1	1
PC0425	1usu_2	1
PC0426	1usv_1	1
PC0427	1usv_2	1
PC0428	1uug_1	1
PC0429	1v18_2	1
PC0430	1vet_1	1
PC0431	1vet_2	1
PC0432	1veu_1	1
PC0433	1veu_2	1
PC0434	1vg0_1	1
PC0435	1vg0_2	1
PC0436	1vyt_1	1
PC0437	1vyt_2	1
PC0438	1wa7_2	1
PC0439	1wa8_1	1
PC0440	1wa8_2	1
PC0441	1wlp_1	1
PC0442	1wlp_2	1
PC0443	1wpx_1	1
PC0444	1wpx_2	1
PC0445	1wq1_2	1
PC0446	1wqj_1	1
PC0447	1wrd_1	1
PC0448	1wve_1	1
PC0449	1wve_2	1
PC0450	1x1u_2	1
PC0451	1xdt_1	1
PC0452	1xg2_1	1
PC0453	1xg2_2	1
PC0454	1xj7_2	1
PC0455	1xqh_1	1
PC0456	1xqh_2	1
PC0457	1xqs_1	1
PC0458	1xqs_2	1
PC0459	1xt9_1	1
PC0460	1y4d_2	1
PC0461	1y6k_2	1
PC0462	1y6n_1	1
PC0463	1y8n_1	1
PC0464	1y8n_2	1
PC0465	1yd8_2	1
PC0466	1ydi_2	1
PC0467	1yrt_1	1
PC0468	1yru_1	1
PC0469	1yvb_2	1
PC0470	1z92_1	1
PC0471	1z92_2	1
PC0472	1zgu_1	1
PC0473	1zhi_1	1
PC0474	1zhi_2	1
PC0475	1zr0_1	1
PC0476	1zsg_2	1
PC0477	1zvy_2	1
PC0478	2a7u_1	1
PC0479	2a7u_2	1
PC0480	2ajf_1	1
PC0481	2ajf_2	1
PC0482	2aq2_2	1
PC0483	2arp_1	1
PC0484	2arp_2	1
PC0485	2b0z_1	1
PC0486	2b42_1	1
PC0487	2b7c_1	1
PC0488	2b7c_2	1
PC0489	2bqz_1	1
PC0490	2bqz_2	1
PC0491	2btf_2	1
PC0492	2c0l_1	1
PC0493	2c0l_2	1
PC0494	2c1m_2	1
PC0495	2c7m_1	1
PC0496	2d10_1	1
PC0497	2d10_2	1
PC0498	2den_1	1
PC0499	2djy_1	1
PC0500	2djy_2	1
PC0501	2dsp_1	1
PC0502	2dsp_2	1
PC0503	2dx5_1	1
PC0504	2f31_1	1
PC0505	2f4m_1	1
PC0506	2f4m_2	1
PC0507	2f9z_1	1
PC0508	2f9z_2	1
PC0509	2few_1	1
PC0510	2few_2	1
PC0511	2fju_2	1
PC0512	2fu5_1	1
PC0513	2fu5_2	1
PC0514	2fyl_1	1
PC0515	2fyl_2	1
PC0516	2g45_1	1
PC0517	2h4m_1	1
PC0518	2h4m_2	1
PC0519	2hd5_1	1
PC0520	2hev_1	1
PC0521	2hle_1	1
PC0522	2hle_2	1
PC0523	2hqw_1	1
PC0524	2hqw_2	1
PC0525	2hrk_1	1
PC0526	2hrk_2	1
PC0527	2hth_2	1
PC0528	2ihs_1	1
PC0529	2ihs_2	1
PC0530	2ij0_1	1
PC0531	2iwg_2	1
PC0532	2ixq_1	1
PC0533	2ixq_2	1
PC0534	2iy1_1	1
PC0535	2j0t_2	1
PC0536	2j1k_2	1
PC0537	2jby_1	1
PC0538	2jgz_1	1
PC0539	2jgz_2	1
PC0540	2jod_1	1
PC0541	2jod_2	1
PC0542	2ju0_1	1
PC0543	2ju0_2	1
PC0544	2k2s_1	1
PC0545	2k2s_2	1
PC0546	2k2u_2	1
PC0547	2k3s_1	1
PC0548	2k42_1	1
PC0549	2k42_2	1
PC0550	2k5b_2	1
PC0551	2k8f_2	1
PC0552	2ka4_2	1
PC0553	2ka6_2	1
PC0554	2kc8_1	1
PC0555	2kc8_2	1
PC0556	2kgx_1	1
PC0557	2kgx_2	1
PC0558	2khs_1	1
PC0559	2khs_2	1
PC0560	2kj4_1	1
PC0561	2kj4_2	1
PC0562	2kqs_1	1
PC0563	2kri_1	1
PC0564	2kt5_1	1
PC0565	2kt5_2	1
PC0566	2kvq_1	1
PC0567	2kvq_2	1
PC0568	2kwi_2	1
PC0569	2kwk_1	1
PC0570	2kwo_1	1
PC0571	2kwv_1	1
PC0572	2kxh_1	1
PC0573	2kxh_2	1
PC0574	2kxw_2	1
PC0575	2l0t_2	1
PC0576	2l1l_1	1
PC0577	2l1l_2	1
PC0578	2l29_1	1
PC0579	2l2l_1	1
PC0580	2l2l_2	1
PC0581	2l9s_1	1
PC0582	2l9s_2	1
PC0583	2ld7_1	1
PC0584	2ld7_2	1
PC0585	2leh_1	1
PC0586	2leh_2	1
PC0587	2lfw_1	1
PC0588	2lfw_2	1
PC0589	2lkm_1	1
PC0590	2lox_2	1
PC0591	2lp0_1	1
PC0592	2lp4_1	1
PC0593	2lp4_2	1
PC0594	2lpb_1	1
PC0595	2lpb_2	1
PC0596	2lqc_2	1
PC0597	2lqh_2	1
PC0598	2luh_1	1
PC0599	2luh_2	1
PC0600	2lvo_2	1
PC0601	2lww_2	1
PC0602	2lxm_1	1
PC0603	2lxm_2	1
PC0604	2ly4_1	1
PC0605	2m0g_1	1
PC0606	2m0g_2	1
PC0607	2m55_2	1
PC0608	2m86_1	1
PC0609	2m86_2	1
PC0610	2mbb_1	1
PC0611	2mej_1	1
PC0612	2mej_2	1
PC0613	2mfq_2	1
PC0614	2mj5_2	1
PC0615	2mnu_2	1
PC0616	2mp0_1	1
PC0617	2mp0_2	1
PC0618	2mre_2	1
PC0619	2mur_1	1
PC0620	2mv7_1	1
PC0621	2mv7_2	1
PC0622	2mws_1	1
PC0623	2mws_2	1
PC0624	2mzd_2	1
PC0625	2n1d_1	1
PC0626	2n2h_1	1
PC0627	2n2h_2	1
PC0628	2n73_1	1
PC0629	2n73_2	1
PC0630	2n8j_2	1
PC0631	2nbv_1	1
PC0632	2nbv_2	1
PC0633	2noj_1	1
PC0634	2o3b_1	1
PC0635	2o3b_2	1
PC0636	2o8v_1	1
PC0637	2o8v_2	1
PC0638	2oob_1	1
PC0639	2ot3_1	1
PC0640	2ot3_2	1
PC0641	2ot8_1	1
PC0642	2ot8_2	1
PC0643	2oza_1	1
PC0644	2p1l_2	1
PC0645	2p46_1	1
PC0646	2p8q_1	1
PC0647	2p8q_2	1
PC0648	2pop_1	1
PC0649	2pop_2	1
PC0650	2psm_1	1
PC0651	2psm_2	1
PC0652	2ptt_1	1
PC0653	2ptt_2	1
PC0654	2px9_1	1
PC0655	2q5d_1	1
PC0656	2qc1_2	1
PC0657	2qna_1	1
PC0658	2qna_2	1
PC0659	2qur_1	1
PC0660	2qur_2	1
PC0661	2qxv_1	1
PC0662	2qxv_2	1
PC0663	2rmk_2	1
PC0664	2rms_1	1
PC0665	2rms_2	1
PC0666	2rnr_1	1
PC0667	2roz_1	1
PC0668	2roz_2	1
PC0669	2rr3_1	1
PC0670	2rr3_2	1
PC0671	2ruk_1	1
PC0672	2rvb_1	1
PC0673	2sic_2	1
PC0674	2uuy_2	1
PC0675	2v3b_1	1
PC0676	2v3b_2	1
PC0677	2v4z_2	1
PC0678	2v51_2	1
PC0679	2v52_2	1
PC0680	2v5q_1	1
PC0681	2v6x_1	1
PC0682	2v6x_2	1
PC0683	2v8s_1	1
PC0684	2v8s_2	1
PC0685	2v9t_1	1
PC0686	2v9t_2	1
PC0687	2vay_2	1
PC0688	2vda_1	1
PC0689	2vda_2	1
PC0690	2vdb_1	1
PC0691	2vdb_2	1
PC0692	2ve7_1	1
PC0693	2ve7_2	1
PC0694	2ver_1	1
PC0695	2vog_1	1
PC0696	2voh_1	1
PC0697	2voi_1	1
PC0698	2voi_2	1
PC0699	2vsm_1	1
PC0700	2w19_1	1
PC0701	2w19_2	1
PC0702	2w84_1	1
PC0703	2wd5_1	1
PC0704	2wd5_2	1
PC0705	2wfx_1	1
PC0706	2wfx_2	1
PC0707	2wg4_1	1
PC0708	2wg4_2	1
PC0709	2wh6_1	1
PC0710	2wjv_1	1
PC0711	2wjv_2	1
PC0712	2wp0_1	1
PC0713	2wp0_2	1
PC0714	2wqz_2	1
PC0715	2wwk_1	1
PC0716	2wwx_1	1
PC0717	2wwx_2	1
PC0718	2wy3_1	1
PC0719	2wy3_2	1
PC0720	2wy8_2	1
PC0721	2x1x_1	1
PC0722	2x1x_2	1
PC0723	2x2d_2	1
PC0724	2xa0_2	1
PC0725	2xb6_1	1
PC0726	2xb6_2	1
PC0727	2xdf_1	1
PC0728	2xdf_2	1
PC0729	2xgy_1	1
PC0730	2xhe_1	1
PC0731	2xhe_2	1
PC0732	2xns_1	1
PC0733	2xns_2	1
PC0734	2xpx_1	1
PC0735	2xqr_1	1
PC0736	2xqr_2	1
PC0737	2y8s_2	1
PC0738	2y8t_2	1
PC0739	2y9m_1	1
PC0740	2y9m_2	1
PC0741	2yj1_2	1
PC0742	2yvj_1	1
PC0743	2yvj_2	1
PC0744	2z58_2	1
PC0745	2zvk_1	1
PC0746	2zvk_2	1
PC0747	3a4s_1	1
PC0748	3ajb_1	1
PC0749	3alz_1	1
PC0750	3alz_2	1
PC0751	3aon_1	1
PC0752	3aon_2	1
PC0753	3au4_1	1
PC0754	3au4_2	1
PC0755	3beg_1	1
PC0756	3beg_2	1
PC0757	3bh6_2	1
PC0758	3blh_1	1
PC0759	3blh_2	1
PC0760	3bn3_2	1
PC0761	3bp8_1	1
PC0762	3bp8_2	1
PC0763	3bs5_1	1
PC0764	3bs5_2	1
PC0765	3bzd_2	1
PC0766	3c4m_1	1
PC0767	3c4m_2	1
PC0768	3c4o_1	1
PC0769	3c59_2	1
PC0770	3c5t_2	1
PC0771	3c66_1	1
PC0772	3c66_2	1
PC0773	3ch5_2	1
PC0774	3cqc_2	1
PC0775	3cqg_2	1
PC0776	3cqx_1	1
PC0777	3cqx_2	1
PC0778	3cx6_2	1
PC0779	3d7t_1	1
PC0780	3da7_2	1
PC0781	3ddc_2	1
PC0782	3di2_1	1
PC0783	3di3_1	1
PC0784	3doe_2	1
PC0785	3dvm_2	1
PC0786	3dvu_1	1
PC0787	3dxe_1	1
PC0788	3e1z_1	1
PC0789	3e2k_1	1
PC0790	3e2k_2	1
PC0791	3e2l_1	1
PC0792	3eab_1	1
PC0793	3eab_2	1
PC0794	3eba_2	1
PC0795	3eg5_2	1
PC0796	3ejj_1	1
PC0797	3ejj_2	1
PC0798	3eoy_1	1
PC0799	3eoy_2	1
PC0800	3f1p_1	1
PC0801	3f50_2	1
PC0802	3f7p_1	1
PC0803	3f7p_2	1
PC0804	3fhc_1	1
PC0805	3fhc_2	1
PC0806	3fii_1	1
PC0807	3fii_2	1
PC0808	3fju_2	1
PC0809	3fpu_1	1
PC0810	3fpu_2	1
PC0811	3g7a_1	1
PC0812	3g7a_2	1
PC0813	3g9v_1	1
PC0814	3g9v_2	1
PC0815	3g9w_1	1
PC0816	3g9w_2	1
PC0817	3gb8_1	1
PC0818	3gb8_2	1
PC0819	3gc3_1	1
PC0820	3gc3_2	1
PC0821	3gni_1	1
PC0822	3gni_2	1
PC0823	3gqi_2	1
PC0824	3gty_1	1
PC0825	3gty_2	1
PC0826	3gxu_1	1
PC0827	3gxu_2	1
PC0828	3h2u_1	1
PC0829	3h2u_2	1
PC0830	3h3g_1	1
PC0831	3h3g_2	1
PC0832	3h8k_2	1
PC0833	3ho5_1	1
PC0834	3ho5_2	1
PC0835	3ia3_1	1
PC0836	3ia3_2	1
PC0837	3idb_2	1
PC0838	3idc_2	1
PC0839	3ifq_1	1
PC0840	3ifq_2	1
PC0841	3inb_1	1
PC0842	3inb_2	1
PC0843	3iol_2	1
PC0844	3ixe_2	1
PC0845	3jza_2	1
PC0846	3k75_1	1
PC0847	3k75_2	1
PC0848	3k8p_1	1
PC0849	3k8p_2	1
PC0850	3kbt_1	1
PC0851	3kbt_2	1
PC0852	3kls_1	1
PC0853	3knb_2	1
PC0854	3kw5_1	1
PC0855	3kyi_1	1
PC0856	3kyi_2	1
PC0857	3l33_2	1
PC0858	3l9j_1	1
PC0859	3l9j_2	1
PC0860	3lbx_1	1
PC0861	3lbx_2	1
PC0862	3m63_1	1
PC0863	3m63_2	1
PC0864	3mca_1	1
PC0865	3mca_2	1
PC0866	3mj7_1	1
PC0867	3mj7_2	1
PC0868	3n00_1	1
PC0869	3n00_2	1
PC0870	3nvn_1	1
PC0871	3nvq_1	1
PC0872	3o34_1	1
PC0873	3o34_2	1
PC0874	3o5t_1	1
PC0875	3o5t_2	1
PC0876	3o6b_1	1
PC0877	3o6b_2	1
PC0878	3oak_1	1
PC0879	3oak_2	1
PC0880	3oiq_1	1
PC0881	3oiq_2	1
PC0882	3ojm_1	1
PC0883	3oky_1	1
PC0884	3oky_2	1
PC0885	3ol2_1	1
PC0886	3ol2_2	1
PC0887	3olm_2	1
PC0888	3ona_1	1
PC0889	3ona_2	1
PC0890	3onl_1	1
PC0891	3onl_2	1
PC0892	3onw_2	1
PC0893	3osl_1	1
PC0894	3oun_1	1
PC0895	3oun_2	1
PC0896	3p71_1	1
PC0897	3pnr_2	1
PC0898	3pvm_1	1
PC0899	3pvm_2	1
PC0900	3qbr_1	1
PC0901	3qbv_1	1
PC0902	3qbv_2	1
PC0903	3qlu_1	1
PC0904	3qlu_2	1
PC0905	3qs7_1	1
PC0906	3qs7_2	1
PC0907	3qwq_1	1
PC0908	3qwq_2	1
PC0909	3r4d_1	1
PC0910	3r4d_2	1
PC0911	3r85_2	1
PC0912	3r9a_1	1
PC0913	3r9a_2	1
PC0914	3reb_1	1
PC0915	3rgf_1	1
PC0916	3rgf_2	1
PC0917	3ro2_1	1
PC0918	3ro2_2	1
PC0919	3rt0_2	1
PC0920	3rzw_1	1
PC0921	3sgb_1	1
PC0922	3sku_1	1
PC0923	3sku_2	1
PC0924	3sri_2	1
PC0925	3t6g_1	1
PC0926	3t6g_2	1
PC0927	3tac_2	1
PC0928	3tg1_2	1
PC0929	3tkl_2	1
PC0930	3tsr_1	1
PC0931	3tsr_2	1
PC0932	3tu3_1	1
PC0933	3tu3_2	1
PC0934	3twi_1	1
PC0935	3twi_2	1
PC0936	3tz1_2	1
PC0937	3ujg_1	1
PC0938	3ukx_2	1
PC0939	3ul1_2	1
PC0940	3ul4_1	1
PC0941	3ul4_2	1
PC0942	3uze_1	1
PC0943	3uzv_1	1
PC0944	3v6b_1	1
PC0945	3v6b_2	1
PC0946	3v96_1	1
PC0947	3vpj_1	1
PC0948	3vpj_2	1
PC0949	3vv2_2	1
PC0950	3vyr_1	1
PC0951	3vyr_2	1
PC0952	3w8h_2	1
PC0953	3wa5_1	1
PC0954	3wa5_2	1
PC0955	3wkt_1	1
PC0956	3wkt_2	1
PC0957	3wqb_1	1
PC0958	3wqb_2	1
PC0959	3wrx_1	1
PC0960	3wry_1	1
PC0961	3wwn_1	1
PC0962	3wwn_2	1
PC0963	3zet_1	1
PC0964	3zet_2	1
PC0965	3zkq_1	1
PC0966	3znz_1	1
PC0967	3znz_2	1
PC0968	3zo0_2	1
PC0969	3zrz_2	1
PC0970	3zu7_1	1
PC0971	3zwl_1	1
PC0972	3zwl_2	1
PC0973	3zwz_2	1
PC0974	3zyi_1	1
PC0975	3zyi_2	1
PC0976	4a1s_2	1
PC0977	4a1u_2	1
PC0978	4a49_1	1
PC0979	4afz_1	1
PC0980	4an7_2	1
PC0981	4aoq_2	1
PC0982	4ap2_2	1
PC0983	4apf_1	1
PC0984	4apx_1	1
PC0985	4awx_1	1
PC0986	4awx_2	1
PC0987	4ayi_1	1
PC0988	4ayi_2	1
PC0989	4b1v_2	1
PC0990	4b93_1	1
PC0991	4bd9_2	1
PC0992	4bfi_1	1
PC0993	4bfi_2	1
PC0994	4bkx_1	1
PC0995	4bkx_2	1
PC0996	4bpk_2	1
PC0997	4brw_1	1
PC0998	4brw_2	1
PC0999	4c4p_2	1
PC1000	4c5g_1	1
PC1001	4c5g_2	1
PC1002	4c9b_1	1
PC1003	4c9b_2	1
PC1004	4cdk_1	1
PC1005	4cj0_1	1
PC1006	4cj0_2	1
PC1007	4cj1_1	1
PC1008	4cj1_2	1
PC1009	4ct0_1	1
PC1010	4ct0_2	1
PC1011	4cu4_1	1
PC1012	4cu4_2	1
PC1013	4cvw_1	1
PC1014	4cvw_2	1
PC1015	4d0g_2	1
PC1016	4d0n_2	1
PC1017	4dbg_1	1
PC1018	4dbg_2	1
PC1019	4dh2_1	1
PC1020	4di3_1	1
PC1021	4di3_2	1
PC1022	4did_2	1
PC1023	4dj9_2	1
PC1024	4dkd_2	1
PC1025	4dm8_1	1
PC1026	4dm8_2	1
PC1027	4dra_1	1
PC1028	4dra_2	1
PC1029	4ds8_1	1
PC1030	4ds8_2	1
PC1031	4dt1_1	1
PC1032	4dt1_2	1
PC1033	4dzv_1	1
PC1034	4eee_1	1
PC1035	4eee_2	1
PC1036	4ehq_2	1
PC1037	4eig_1	1
PC1038	4eoz_1	1
PC1039	4eoz_2	1
PC1040	4etp_1	1
PC1041	4etp_2	1
PC1042	4euk_1	1
PC1043	4euk_2	1
PC1044	4exp_2	1
PC1045	4f38_1	1
PC1046	4f38_2	1
PC1047	4f48_1	1
PC1048	4f48_2	1
PC1049	4f9l_1	1
PC1050	4f9p_1	1
PC1051	4fq0_1	1
PC1052	4fq0_2	1
PC1053	4fza_2	1
PC1054	4fzv_1	1
PC1055	4fzv_2	1
PC1056	4g01_1	1
PC1057	4g35_2	1
PC1058	4g6u_1	1
PC1059	4g6u_2	1
PC1060	4gaf_1	1
PC1061	4gaf_2	1
PC1062	4geh_1	1
PC1063	4gh7_1	1
PC1064	4gh7_2	1
PC1065	4gi3_2	1
PC1066	4giq_1	1
PC1067	4gla_2	1
PC1068	4gn4_2	1
PC1069	4h2s_2	1
PC1070	4h2w_2	1
PC1071	4h3p_1	1
PC1072	4h3p_2	1
PC1073	4h5s_1	1
PC1074	4h5s_2	1
PC1075	4hep_1	1
PC1076	4hff_1	1
PC1077	4hff_2	1
PC1078	4hgm_2	1
PC1079	4hnj_1	1
PC1080	4hrl_1	1
PC1081	4hrl_2	1
PC1082	4i6l_1	1
PC1083	4i9x_1	1
PC1084	4i9x_2	1
PC1085	4ihh_1	1
PC1086	4ihh_2	1
PC1087	4ika_1	1
PC1088	4ika_2	1
PC1089	4iop_2	1
PC1090	4iu3_1	1
PC1091	4iu3_2	1
PC1092	4iyp_1	1
PC1093	4iyp_2	1
PC1094	4j2y_1	1
PC1095	4j32_1	1
PC1096	4j32_2	1
PC1097	4jeg_1	1
PC1098	4jeh_1	1
PC1099	4jeu_1	1
PC1100	4jra_2	1
PC1101	4js0_2	1
PC1102	4jw2_1	1
PC1103	4jw2_2	1
PC1104	4jw3_1	1
PC1105	4jw3_2	1
PC1106	4jzw_2	1
PC1107	4kbb_2	1
PC1108	4kdi_2	1
PC1109	4kfz_1	1
PC1110	4kfz_2	1
PC1111	4kr0_1	1
PC1112	4krl_1	1
PC1113	4ksd_1	1
PC1114	4kt1_1	1
PC1115	4kt3_1	1
PC1116	4kt3_2	1
PC1117	4kvg_2	1
PC1118	4l67_1	1
PC1119	4l67_2	1
PC1120	4lad_1	1
PC1121	4lad_2	1
PC1122	4lgr_1	1
PC1123	4lrx_1	1
PC1124	4lrx_2	1
PC1125	4lzx_2	1
PC1126	4m1l_2	1
PC1127	4m5f_1	1
PC1128	4m5f_2	1
PC1129	4mi8_1	1
PC1130	4mi8_2	1
PC1131	4mrt_1	1
PC1132	4mrt_2	1
PC1133	4msm_1	1
PC1134	4n7v_1	1
PC1135	4n7v_2	1
PC1136	4n7z_1	1
PC1137	4n7z_2	1
PC1138	4nqw_1	1
PC1139	4nqw_2	1
PC1140	4nso_1	1
PC1141	4nso_2	1
PC1142	4nzl_2	1
PC1143	4nzw_2	1
PC1144	4ofy_1	1
PC1145	4ofy_2	1
PC1146	4ojk_2	1
PC1147	4ol0_2	1
PC1148	4p3y_1	1
PC1149	4p3y_2	1
PC1150	4pas_1	1
PC1151	4pas_2	1
PC1152	4pbw_1	1
PC1153	4pbw_2	1
PC1154	4pbz_1	1
PC1155	4pbz_2	1
PC1156	4pc0_1	1
PC1157	4pc0_2	1
PC1158	4per_2	1
PC1159	4pgj_2	1
PC1160	4plo_1	1
PC1161	4plo_2	1
PC1162	4pw9_1	1
PC1163	4pw9_2	1
PC1164	4pz6_1	1
PC1165	4pz6_2	1
PC1166	4qlb_1	1
PC1167	4qlb_2	1
PC1168	4qlp_1	1
PC1169	4qlp_2	1
PC1170	4qxa_2	1
PC1171	4qzv_1	1
PC1172	4re1_1	1
PC1173	4re1_2	1
PC1174	4rey_2	1
PC1175	4rs1_1	1
PC1176	4rs1_2	1
PC1177	4rt6_1	1
PC1178	4rt6_2	1
PC1179	4s0s_1	1
PC1180	4s0s_2	1
PC1181	4tq0_1	1
PC1182	4tq0_2	1
PC1183	4tq1_1	1
PC1184	4tq1_2	1
PC1185	4u2x_1	1
PC1186	4u2x_2	1
PC1187	4u4c_1	1
PC1188	4u4c_2	1
PC1189	4udm_1	1
PC1190	4udm_2	1
PC1191	4uem_1	1
PC1192	4uem_2	1
PC1193	4uf1_1	1
PC1194	4uwx_1	1
PC1195	4uwx_2	1
PC1196	4uyq_1	1
PC1197	4w6y_1	1
PC1198	4wem_1	1
PC1199	4wen_1	1
PC1200	4wnd_2	1
PC1201	4x33_1	1
PC1202	4x33_2	1
PC1203	4x7d_1	1
PC1204	4x7d_2	1
PC1205	4xl1_1	1
PC1206	4xl1_2	1
